,A,A,A,
,【日本語】,【英語】,,
1,私は、それぞれの友人にぴったりの贈り物を選ぶ。,I select the gift to my friends individually.,個別化,
2,私は、未来志向の人と交流するのが好きである。,I like to get along with those whom are foresighted.,運命思考,
3,私は、誰からも好かれたい。,I hope that everyone likes me.,社交性(?),
4,私は、一番になるように、全力を尽くす。,I strive to be first.,競争性,
5,私は、いつも一生懸命やってきた。,I always work hard.,規律性(?),責任感(?)
6,私は、自分の得意なことについて考える。,I am able to think about my specialties carefully.,最上志向(?),内省(?)
7,私は、繊細な人間である。,I am very sentimental.,共感性,
8,私は、一人一人と向き合って、相手を知る。,I understand others' personality.,個別化,
9,会話の糸口を見つけるには、努力がいる。,To talk to people initiatively makes me embarrassed.,慎重さ(?),
10,人生をすばらしいものと感じている。,I feel very good about my life.,ポジティブ,
11,私は、チーム・プレイヤー(協調性が高いこと)である。,I prefer to team work.,包含,
12,私は、その人が私にとって大切な人間であると感じさせることができる。,I make people feel that they are important to me.,共感性(?),
13,信念が私の人生の活力となっている。,My opinion of humanity leads me in life.,信念,
14,私は、友達を作ることに満足を感じる。,When someone's friend can make me feel satisfied.,社交性,
15,私は、順序に従うのが好きである。,I am systematic and to go as planned.,規律性,
16,私は、成長のために全力を尽くす。,I focus on being brought up.,最上志向,
17,私は、バランスのとれた生活を送りたい。,I want my life balanced.,公平性(?),
18,私は、毎日、将来のビジョンについて何度も話す。,I talk about my vision for the future several times in a day.,未来志向,
19,私は、人をワクワクさせることができる。,I make people excited.,ポジティブ(?),
20,一度決断したら必ず行動を起こす。,"Once I make a decision, I excute immidiately.",活発性,
21,私は、他の多くの人よりも、自分の成し遂げたいことに集中できる。,I spend more time than people do to achieve the target.,達成欲,
22,私は、偶然を信じない。全ての出来事には理由がある。,"I think there is no coincidence in the world, there's a reason for everything.",運命思考,
23,私は、会話が上手である。,I am good at talking.,コミュニケーション,
24,私は、人をほめたり、表彰することが好きである。,I like to praise people.,ポジティブ(?),
25,私は、競争が好きである。,I like competitions.,競争性,
26,私は、非常に実際的な考え方をする人間であり、上手に専門家の助けを借りて正しい答を見つける,I get my feet back on the ground and ask expert for direction.,調和性(?),
27,私は、生き生きとしており、喜びに溢れている。,I am energatic and full of joy.,ポジティブ,
28,私は、大組織の最高経営責任者になりたい。,I want to a president of a company.,自我,
29,私は、ときどき、人を怖じ気づかせてしまう。,I sometimes force others.,指令性,
30,私は、その人の立場になって、その直面している状況を理解することができる。,I put myself in others' shoes and realize how they feel.,共感性,
31,私は、人が成功するよう、働きかける。,I urge people to success.,成長促進,
32,私は、心配ごとにこだわらない人間である。,I am carefree.,ポジティブ(?),
33,私は、できるだけたくさんの人と一緒に物事をするのが好きである。,I like to do things with people.,包含(?),
34,私は、歴史を学ぶことで将来を予測することができる。,I apply experiences from the eighties to learn about future.,原点思考,
35,私は、私よりも大きな存在の一部である。,I belong to a higher level.,運命志向,
36,私は、仕事を自分の人生において重要な意味を持つものとしたい。,I integrate my work with my life.,信念,
37,私は、人から嫌われると悲しい思いになる。,I would be sad if someone does not like me.,包含,
38,私は、整理、系統づけるタイプである。,I organize. ,規律性,
39,私は、相手の話の重要な箇所を指摘し、相手を喜ばせることができる。,I realize others' point when listening to them and it makes them happy.,共感性,
40,私は、哲学的な人を探し求める。,I am looking for someone philosophical.,原点思考(?),
41,私は、相手が価値ある存在であることを感じさせることが楽しい。,I am willing to make others to be aware of their own values.,個別化,
42,私は、問題を直感的に解決する。,I solve problems by intuition.,回復思考,適応性
43,私は、人生に関して健全な懐疑心を持っている。,I rationally suspect life.,公正性(?),
44,私は、友人に話をしてほしいと頼まれる。,My friends ask me to tell a story.,コミュニケーション,
45,自分と似た人と一緒にいる方がよい。,I prefer to get along with whose personality is close to mine.,最上志向(?),
46,私は、ほとんどの人と同じペースで仕事ができるが、さらにハードに長時間、仕事をする気はない。,"I do not need to spend more time in work, just like everyone does.",アレンジ,
47,スポーツなら、何でも興味がある。,Anythings about sports storngly attract me.,収集心(?),
48,私は、非常にきちんとした人間である。,I am systematical.,共感性(?),慎重さ
49,私は、人と何かを分かち合うことによって、成長する。,I become mature by sharing experience to other.,共感性(?),
50,私は、自分が練った将来計画にそって行動している。,I excute in accordance with the plan I set.,戦略性(?),
51,私は将来自分が達成できることに焦点を当てている。,I focused on the goal which can be reached in the future.,達成欲,
52,人の欠点を理解することで、よい関係を築ける。,I get along with people well after understanding their weaknesses.,回復思考(?),
53,私は誰の気持ちも傷つけることがないよう皆を受け入れる。,"I accept everyone, and not to hurt their feelings thus.",調和性(?),包含(?)
54,信頼できる専門家で成功した人物として認められなければならないほど、私の自我は強くない。,I am not conceited. I do not care whether others treat me as a professional and successful man.,自我,
55,世界大戦が起きた理由を理解することは楽しい。,I would like to comprehend the causes of World War.,収集心,
56,私は自分の現在の生活において直面する問題に対し分析的である。,I analyze incidents I encountered in my life.,分析思考,
57,私は自分の才能を最大限に活用することにより前進する。,I improve by giving full play to my abilities.,最上志向,
58,私にとっては、何事も計画が必要である。,"In my opinion, I plan everythings in advance before excuting.",規律性,
59,私は、物事をするのに様々なやり方を見つける。,I am looking for a variety of ways to solve problems.,戦略性,
60,泣いている自分は、大嫌いだ。,I hate to cry.,分析思考(?),指令性(?)
61,私は、のんびりするのが楽しい。,I like relaxing.,調和性(?),
62,幸せとは、お金である。,Money equals to happiness.,自我(?),
63,私は、人の意見を求める。,I ask for advices of others,調和性,
64,私は、すべての人が等しく処遇され、従うべき明確な規則を有することは絶対に不可欠であると考える。,I am convinced that treat everyone equally. It is essential that make reular rules to people.,公平性,
65,私は、正しい答えを見つける時には、専門家の助けに依存する。,I ask experts to find the correct answer,分析思考,
66,私は、褒め言葉を惜しまない。,I have always been very generous praise of others.,自我(?),
67,私は、競争で一番にならない限りは、完全に満足することはない。,"Unless I am the champion in a competition, I do not satisfy.",競争性,
68,私は、全くタイプの異なる人間をどうすれば一緒にうまく仕事がさせられるかを考えるのが得意である。,I am good at combining various people work together.,個別化(?),成長促進(?)
69,私は、自分が安全、もしくは、快適と感じられる範囲内にとどまろうとする。,I try not to stay at the comfortable situation.,慎重さ,
70,私には、同僚の感じていることが分かる。,I can understand the feelings of colleagues.,共感性,
71,大切なことは、自分がその人を好きか嫌いかではなく、その人がどういう人であるかである。,"It is not important whether I like someone or not, but how the personality he or she is.",個別化 (?),
72,重要な決定を下すときには、自分の気持ちを信じる。,I make major decisions depends on intuition.,運命思考(?),自己確信(?)
73,私は、物事が生じるままに対応していく。,I react during something happen.,対応性,
74,私は、誰もが好きである。,I love everyone.,包含,
75,目標が私の強い動機付けになる。,I am dedicated in achieving my goal.,目標志向,
76,私は、達成目標を毎週決めている。,I set goals every weeks.,目標志向,
77,私は、現在の出来事に対処するのが好きである。,I like to deal with instant things.,対応性,
78,勉強するには自分で自分を強いなければならない。,I have to force myself to learn,着想,
79,私は、小さな子供を扱うことなら何でも好きである。,I like almost everythings about children.,信念(?),社交性(?)
80,私は、正確さを要求される仕事が好きである。,I like the work which accuracy is required.,規律性(?),
81,私は、人が何によって動かされるかについて勉強している。,I study the causes of others' behavior.,運命思考(?),
82,私は、毎日の習慣に従い行動する。,My life is regular,規律性,公平性(?)
83,私は、教育に関して熱心である。,I am full of enthusiasm for education,学習欲(?),
84,私は、自分の話を聞いてもらうのが好きである。,I like people to listen to me.,コミュニケーション,
85,私は、物語を語るのがうまい。,I am good at telling stories.,コミュニケーション,
86,私は、自分の人生における進歩に満足している。,I feel satisfied to myself with my improvement in life.,達成欲,
87,私は、話をするのが好きである。,I like speaking.,コミュニケーション,
88,私は、完璧主義者である。,I am a perfectionist.,最上志向,
89,私は、現実的なものの考え方をする人間である。,I consider dependablely.,指令性(?),
90,私は、私自身の弱点を率直に話してくれる人を探し求めている。,I am looking for who point out my weaknesses straighly.,指令性(?),
91,私はなによりも自分の世話をしなければならない。,I have to take care of myself first.,自我(?),
92,私は、非常に社交的である。,I am sociable,社交性,
93,私は、言葉に詰まることがない。,I never being out of words.,コミュニケーション(?),ポジティブ(?)
94,私は、屈託のない人間である。,I am carefree.,ポジティブ,
95,私は、勉強が大好きである。,I love to learn,学習欲,
96,私は、よく物事を忘れる。,I am a forgetful person,内省(?),
97,私は、個々人の違いについて、鋭く観察している。,I am good at observing the difference between people.,個別化,
98,私は、弱点を克服し、欠点を除去することにより、物事をやり遂げる。,I overcome the weaknesses and compensate for the lack to success.,回復思考,
99,困難な状況下で完璧に物事を行わなければならない時、私は自ら進んで成し遂げようとする傾向がある。,"When encounter dilemma but to complete the mission, I almost do it myself.",対応性(?),対応性(?)
100,私は、外向的である。,I am an extrovert.,活発性,
101,できるだけ多くの友人が欲しい。,I just want more friends.,社交性,
102,時に、真実を曲げることも許される。,Sometimes twisting the truth is forgiven,自己確信,
103,よく知っている数人の友人が欲しい。,I need a few friends but who are sincere.,親密性,
104,私は、整理整頓上手で知られている。,I am celebrated for clean.,規律性(?),
105,私は、自分の将来を自分で創造している。,I am creating me own future.,自己確信,
106,私は、人に挑戦するのが好きである。,I like to challenge others.,競争性,
107,私は、自分のことは公にしない人間である。,I am really care about privacy.,慎重さ,
108,私は、寛大である。,I am generous.,調和性,
109,私は、リーダーである。,I am a leader.,自我,アレンジ(?)
110,私は、ときどきお世辞を言う。,I sometimes flatter others,調和性,
111,私は、それが必要ならば、いくらでも長く勉強できる。,I study for a long time if necessary.,学習欲,
112,私は、褒めすぎたり、評価しすぎないよう気をつけている。だから、私がそうするときは、本当に意義あることがなされたときである。,"I seldom praise, so it is meaningful when I do praise.",慎重さ,
113,私は、新しいことを学ぶ用意がある。,I am willing to learn new things,学習欲,
114,私は、人生の目的を持っている。,There is a goal in my life.,運命思考(?),
115,私は、哲学的な議論をするのが好きである。,I like philosophical discussions.,分析思考,
116,私は、一人でいるのが好きである。,I like to be alone.,内省,
117,私は、将来を思い描く。,I imagine the future.,未来志向,
118,私は、自分に関する真実は容易に認めることができる。,I can truly realize myself.,分析思考,
119,私は、自分がどういう人間であるかについて話すことを怖れない。,I dare to talk about myself.,指令性(?),
120,私は子ども時代、かなり活発で独立精神旺盛であった。,I was tenacious and independent when I was a child.,活発性(?),自我(?)
121,私は、もてなすのが好きである。,I like to greet people.,社交性(?),
122,私は、コントロールされるのは大嫌いである。,I hate to be controlled.,指令性(?),
123,私は、整理整頓のできない人間は避ける。,I keep away from dirty people.,規律性(?),
124,明確な方向性が見えないときは、何が正しいかを知っている人の助言を求めることが多い。,I ask someone for help when the situation is not uncertain.,原点思考(?),
125,私は、自分の目標を見出せないでいる人にはいらいらする。,Aimless person makes me feel impatient.,目標思考,
126,私は、簡単な課程を選ぶ。,I prefer easy courses.,慎重さ,
127,私は、締め切りが嫌いである。,I hate deadline.,内省(?),
128,私は、人を勇気づける。,I encourage others.,成長促進(?),
129,私は、人を信用しすぎる。,I trust others too much.,親密性,
130,過去に起こったでき事が、私をやる気にさせる。,I am encourged by what I experienced in the past.,原点思考,
131,締め切り直前のプレッシャーが、私の集中力を強化する。,Imminent pressure makes me more focused.,規律性,
132,もしも状況が許すのであれば、ほとんどの人がものを盗むと思う。,I think most of people would steal if circumstances is allowed.,公平性,
133,仕事にわくわくできることが、私が最も強く望むことである。,My greatest desire is to love my work.,信念,
134,私は、分別のある人間である。,I am a reasonable person.,公平性,
135,私の考えとエネルギーの大半は、今現在に振り向けられている。,I am concerned about this moment.,適応性(?),
136,最善を尽くした時には、満足を感じる。,I feel satisfied if I do my best.,アレンジ(?),
137,私は、学びたいという強い欲求を持つ。,I am strongly inquisitive.,学習欲,
138,私は、因果関係についてよく考える。,I usually think about causation.,戦略性(?),
139,私は、なぜ失敗したかを明らかにする。,I am looking for the reason how I failed.,原点思考,
140,私は、人生の中で、不満を感じる部分がある。,I am not totally satisfied with my life.,達成欲(?),責任感(?)
141,私は、自分にも相手にも責任を求める。,I persue responsibility.,信念,
142,私は、人に合わせることができる。,I get along with everyone.,調和性,
143,私は、自分の時間の1/4を、将来について考えることに費やしている。,I take 25% of time thinking about the future.,未来志向,
144,私は、友人をやる気にさせ、行動を起こさせる。,I encourage friends to excute and act.,ポジティブ(?),コミュニケーション(?)
145,必要なら、苦情を申し出る。,I express dissatisfaction if necessary.,指令性,
146,日中だけでなく、夕方と週末にする仕事も合わせると、私の通常の勤務時間は一週間あたり40-50時間になる。,I totally work 40-50 hours a week.,達成欲(?),信念
147,私は、気楽な性分である。,I always smile.,ポジティブ(?),
148,私はにとって、新たな任務に取りかかることは簡単である。,It is easy for me to excute a new task.,達成欲(?),
149,私は、誰とでもうまくつきあえる。,I get along with everyone well.,社交性,
150,私は、すぐ泣く。,I cry easily.,個別化(?),共感性(?)
151,私は、人生を見物している。,I sit on the sidelines of life .,分析思考,
152,私は、必要なら、一晩中でも仕事に集中することができる。,I concentrate my attention on work without getting rest if necessary.,達成欲(?),信念
153,私は、何事を達成するにもトップである。,My achievements are extraordinary.,競争性,
154,私は、人を出し抜くことができる。,I am more smarter than others.,競争性,
155,私は、同時に複数の事柄が進行している時、最も良い成果が出せる。,I do many things at the same time with the highest efficiency.,アレンジ,
156,とても私のことを気遣ってくれた先生やコーチがいた。,There was a teacher or coach who really concern about me.,共感性(?),
157,私は、物事に先鞭をつける（他に先んじて着手する）のが上手い。,I am good at initiating.,着想,活発性(?)
158,私は、何かプロジェクトがあった時、そのために人を募るのがうまい。,I am good at making everyone to participate event.,社交性(?),
159,私は、よく数字のことを考える。,I often think about numbers.,分析思考,
160,私は、知的な議論をより好む。,I prefer to discuss thoughts.,内省,
161,私が使う言葉は、人に知的刺激を与える。,My vocabularies are philosophical.,分析思考,
162,私の使う言葉は、簡潔で、わかりやすい。,I use short vocabularies.,コミュニケーション,
163,私にとって、自分の考えを言葉することは簡単だ。,I can easily put thought into words.,コミュニケーション,
164,私は、読書が大好きである。,I love to read.,学習欲,
165,私の頭は、つねに働いている。,My brain works anytime.,内省,
166,私は、講義が好きである。,I like to listen to others.,収集心(?),
167,私は、勉強するのが好きである。,I like to learn.,学習欲,
168,私は、強い知識欲を持っている。,I strongly desire to know more.,収集心,
169,私は、いつも締め切りに間に合わせる。,I always finish work on time.,規律性,
170,一つの新しいアイディアで、私の一日が充実する。,New opinions make me excited.,着想,
171,グループの中で、他のメンバーよりも私の方が多くのアイディアを持っていることが多いようである。,I think I come up with most ideas when getting along with others.,着想,
172,私は、つねに新しい情報を吸収している。,I absorb new knowledges continuously.,収集心,
173,私にとって、勝利がすべてである。,The most important thing is to win.,競争性,
174,私の哲学が、私の人生を方向づけてくれる。,My philosophy of life guides my life.,運命思考(?),
175,毎週、少なくとも5時間は、一人になって様々なことを考えている。,I think alone at least five hours per week.,内省,
